anomes,qtd_contratos,sum_vlr_bruto
2019-01,254,11199689.16694
2019-02,217,9169593.6908
2019-03,250,10812868.71315
2019-04,258,12496544.51206
2019-05,248,11467358.6104
2019-06,258,11416683.723
2019-07,267,11738307.8577
2019-08,258,11436868.4938
2019-09,234,9596551.8013
2019-10,257,9966509.25938
2019-11,246,8907745.1581
2019-12,238,9386419.0903
2020-01,244,9662920.56028
2020-02,263,9627644.0718
2020-03,238,8406753.67766
2020-04,227,7727724.6798
2020-05,250,7690083.8147
2020-06,237,7626235.1782
2020-07,246,7684206.9035
2020-08,265,7344905.67413
2020-09,244,6826291.4879
2020-10,258,7267220.7163
2020-11,236,7332530.07876
2020-12,248,6800200.2115
2021-01,350,10318385.7035
2021-02,349,10125926.929
2021-03,333,10542365.8282
2021-04,357,11307235.79258
2021-05,353,12083054.818
2021-06,345,11642715.3151
2021-07,395,14148726.03032
2021-08,367,13903655.59616
2021-09,361,14637097.3028
2021-10,356,15531532.78774
2021-11,337,17658913.78975
2021-12,379,18753542.36927
2022-01,423,22436810.76698
2022-02,336,20828758.42752
2022-03,407,27504446.7792
2022-04,369,25128277.0014
2022-05,418,29131205.4417
2022-06,386,27516486.6156
2022-07,425,31690327.72065
2022-08,359,25229507.38634
2022-09,393,30012054.7037
2022-10,383,28256475.39174
2022-11,385,26812562.6836
2022-12,388,29924716.946
